date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:59	783306/783306	---MCZ	200	added ('OK')	text/html	etag:W/%22f0fd2d08ce0270c16d80f3fc0b2718e8%22	https://www.wix.com/templateses/cap-hats_es/contacto	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/contacto.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:59	2293/2293	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:09%20GMT	https://static.wixstatic.com/media/baac51_23d749587fb743859f9bb6b69a24f71e~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_23d749587fb743859f9bb6b69a24f71e~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_23d749587fb743859f9bb6b69a24f71e_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_23d749587fb743859f9bb6b69a24f71e_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:59	999455/999455	---MCZ	200	added ('OK')	text/html	etag:W/%221b579979e4d149cbcf3c4a3f3e037f0f%22	https://www.wix.com/templateses/cap-hats_es/blog	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/blog.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:59	770860/770860	---MCZ	200	added ('OK')	text/html	etag:W/%22bce967969c720479e57f00d6cae52d45%22	https://www.wix.com/templateses/cap-hats_es/nosotros	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/nosotros.html	(from https://www.wix.com/templateses/cap-hats_es)
09:31:00	759561/759561	---MCZ	200	added ('OK')	text/html	etag:W/%22de22c66cbecdcbca7e100c8b4d7db599%22	https://www.wix.com/templateses/cap-hats_es/preguntas-frecuentes	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/preguntas-frecuentes.html	(from https://www.wix.com/templateses/cap-hats_es)
09:31:00	761326/761326	---MCZ	200	added ('OK')	text/html	etag:W/%226228c7f48dc518fc96092f9fa4b4d90a%22	https://www.wix.com/templateses/cap-hats_es/env%c3%ados-y-devoluciones	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/env%c3%ados-y-devoluciones.html	(from https://www.wix.com/templateses/cap-hats_es)
09:31:00	761627/761627	---MCZ	200	added ('OK')	text/html	etag:W/%2200e96ee8aab37a2523981d623d8ed629%22	https://www.wix.com/templateses/cap-hats_es/pol%c3%adticas-de-la-tienda	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/pol%c3%adticas-de-la-tienda.html	(from https://www.wix.com/templateses/cap-hats_es)
09:31:00	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:01	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2014:31:01%20GMT	https://www.wix.com/templateses/robots.txt	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/robots.2a.delayed	(from https://www.wix.com/templateses/cap-hats_es)
09:31:01	3032/3032	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2014:31:01%20GMT	https://www.wix.com/templateses/sitemap.xml	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/sitemap.2b.delayed	(from https://www.wix.com/templateses/cap-hats_es)
09:31:02	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2014:31:02%20GMT	https://www.wix.com/templateses/feed.xml	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/feed.2c.delayed	(from https://www.wix.com/templateses/cap-hats_es)
09:31:02	3032/3032	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2014:31:02%20GMT	https://www.wix.com/templateses/${i.uri}	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/${i.2d.delayed	(from https://www.wix.com/templateses/cap-hats_es)
09:31:02	134542/134542	---M-Z	200	added ('OK')	application/javascript	etag:W/%2229efe86f1c0e5e7af200f885e12647ca%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.e52dfaaa.bundle.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.e52dfaaa.bundle.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:02	257278/257278	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b869eb8bd3a158686638e7d38315121f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.66ad2b1b.bundle.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/services/wix-thunderbolt/dist/main.66ad2b1b.bundle.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:02	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:03	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:03	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:03	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.wix.com/templateses/cap-hats_es)
09:31:03	176524/176524	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210304f8c3b13f17ca2e77920666ae2bb%22	https://static.parastorage.com/services/ecom-platform-cart-icon/1.1010.0/CartIconViewerWidgetNoCss.bundle.min.js	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.parastorage.com/services/ecom-platform-cart-icon/1.1010.0/CartIconViewerWidgetNoCss.bundle.min.js	(from https://www.wix.com/templateses/cap-hats_es)
